X,Y,FID,Name,Address,City,State,Zipcode,GISLabel,Status
2226158.4048633,1365122.96679281,1,AFRD Station 1,71 Elliott St SW,Atlanta,GA,30313,1,Current Fire Station
2231295.00752351,1349723.81557513,2,AFRD Station 2,1568 Jonesboro Rd SE,Atlanta,GA,30315,2,Current Fire Station
2237036.22198337,1401634.42800155,3,AFRD Station 3,800 Longleaf Dr NE,Atlanta,GA,30326,3,Current Fire Station
2232458.41432664,1365601.3506618,4,AFRD Station 4,309 Edgewood Ave SE,Atlanta,GA,30312,4,Current Fire Station
2200961.32206116,1346121.88416534,5,AFRD Station 5,2825 Campbellton Rd SW,Atlanta,GA,30311,5,Current Fire Station
2214866.13432078,1383169.33924546,6,AFRD Station 8,1711 Marietta Blvd NW,Atlanta,GA,30318,8,Current Fire Station
2194666.73323198,1367095.61876458,7,AFRD Station 9,3501 Martin Luther King Jr Dr SW,Atlanta,GA,30331,9,Current Fire Station
2235237.74505902,1361328.72313924,8,AFRD Station 10,447 Boulevard SE,Atlanta,GA,30312,10,Current Fire Station
2227886.83241117,1378851.59948306,9,AFRD Station 11,165 16th St NW,Atlanta,GA,30363,11,Current Fire Station
2242286.95666801,1368335.68078437,10,AFRD Station 12,1288 Dekalb Ave NE,Atlanta,GA,30307,12,Current Fire Station
2241548.24844066,1361216.44355411,11,AFRD Station 13,431 Flat Shoals Ave SE,Atlanta,GA,30316,13,Current Fire Station
2218485.66247919,1354034.49241608,12,AFRD Station 14,1203 Lee St SW,Atlanta,GA,30310,14,Current Fire Station
2231240.19949471,1375842.48143343,13,AFRD Station 15,170 10th St NE,Atlanta,GA,30309,15,Current Fire Station
2219006.0951683,1368977.0759243,14,AFRD Station 16,1048 Joseph E Boone Blvd NW,Atlanta,GA,30314,16,Current Fire Station
2214574.6083173,1361452.06462308,15,AFRD Station 17,1489 Ralph David Abernathy Blvd SW,Atlanta,GA,30310,17,Current Fire Station
2249340.95556667,1364315.76004629,16,AFRD Station 18,2007 Oakview Rd SE,Atlanta,GA,30317,18,Current Fire Station
2239585.11929873,1376369.53408536,17,AFRD Station 19,1063 N Highland Ave NE,Atlanta,GA,30306,19,Current Fire Station
2223532.51013476,1352548.77043776,18,AFRD Station 20,590 Manford Rd SW,Atlanta,GA,30310,20,Current Fire Station
2232287.14197333,1397833.41219253,19,AFRD Station 21,3201 Roswell Rd NE,Atlanta,GA,30305,21,Current Fire Station
2210311.68260426,1374252.14942684,20,AFRD Station 22,817 Hollywood Rd NW,Atlanta,GA,30318,22,Current Fire Station
2220879.2441067,1381527.16810706,21,AFRD Station 23,1545 Howell Mill Rd NW,Atlanta,GA,30318,23,Current Fire Station
2222460.12684821,1328687.36100322,22,AFRD Station 24,3300 N Inner Loop Rd,Hapeville,GA,30320,24,Current Fire Station
2206028.90025467,1354402.36731186,23,AFRD Station 25,2349 Benjamin E Mays Dr SW,Atlanta,GA,30311,25,Current Fire Station
2219392.30844817,1396038.13020175,24,AFRD Station 26,2970 Howell Mill Rd NW,Atlanta,GA,30327,26,Current Fire Station
2223177.01079885,1408220.09513819,25,AFRD Station 27,4260 Northside Dr NW,Atlanta,GA,30327,27,Current Fire Station
2203927.96670143,1385609.00662218,26,AFRD Station 28,1925 Hollywood Rd NW,Atlanta,GA,30318,28,Current Fire Station
2235121.4206893,1386225.26272798,27,AFRD Station 29,2167 Monroe Dr NE,Atlanta,GA,30324,29,Current Fire Station
2228843.25619349,1338948.01153163,28,AFRD Station 30,10 Cleveland Ave SW,Atlanta,GA,30315,30,Current Fire Station
2215886.14525768,1318128.46406073,29,AFRD Station 33,1401 South Loop Rd,HJAIA,GA,30320,33,Current Fire Station
2233284.25934769,1329645.93728066,30,AFRD Station 34,3631 Southside Industrial Pkwy SE,Atlanta,GA,30354,34,Current Fire Station
2223408.23705168,1323795.36586776,31,AFRD Station 35,2150 Central Cargo Cir,HJAIA,GA,30354,35,Current Fire Station
2200337.01112817,1375827.14208277,32,AFRD Station 38,2911 Donald Lee Hollowell Pkwy NW,Atlanta,GA,30318,38,Current Fire Station
2215946.26375745,1320248.504856,33,AFRD Station 40,4600 ASR Rd SW,HJAIA,GA,30320,40,Current Fire Station
2221873.46453329,1360719.23788745,34,AFRD Station 7,535 W. Whitehall St SW,Atlanta,GA,30310,7,Current Fire Station
2210703.35176883,1323118.32998542,35,AFRD Station 32,5750 South Terminal Pkwy,HJAIA,GA,30337,32,Current Fire Station
2191222.98379221,1339984.56535925,36,AFRD Station 36,2611 Fairburn Rd SW,Atlanta,GA,30331,36,Current Fire Station
2184157.61696564,1344640.67722845,37,AFRD EMS Station 37,4531 Campbellton Rd SW,Atlanta,GA,30331,37,Current EMS Station
